,StartStationName,county,city,province
0,太原汽车总站,,太原,山西
1,锦州站,,锦州,辽宁
2,白城市中心客运总站,市中区,乐山,四川
3,松原公路客运站,,松原,吉林
4,231123002,,,
5,万达广场,,,
6,建州汽车城公交站,,,
7,黄石,黄石港区,黄石,湖北
8,芷江汽车站,芷江侗族自治县,怀化,湖南
9,仪陇马鞍汽车站,仪陇县,南充,四川
10,剑阁(下寺),剑阁县,广元,四川
11,象州汽车客运服务站,象州县,来宾,广西
12,澄城汽车站,澄城县,渭南,陕西
13,泰宁汽车站,泰宁县,三明,福建
14,和田东郊客运站,和田县,和田,新疆
15,公主岭市客运总站,公主岭市,长春,吉林
16,永吉县公路客运总站,永吉县,吉林,吉林
17,230103020,,,
18,青浦长途站,青浦区,上海,上海
19,平湖汽车客运中心,平湖市,嘉兴,浙江
20,黟县车站,黟县,黄山,安徽
21,新干城北汽车站,城北区,西宁,青海
22,郸城客运东站,郸城县,周口,河南
23,宁远湘运汽车站,宁远县,永州,湖南
24,阳春春湾汽车客运站,阳春市,阳江,广东
25,斗门站,斗门区,珠海,广东
26,稔村站,,,
27,文昌文教,文昌市,儋州,海南
28,黔西客运站,黔西县,毕节,贵州
29,自贡富顺县客运中心,富顺县,自贡,四川
30,毕节高铁枢纽站,,毕节,贵州
31,大田县建设车站,大田县,三明,福建
32,郑州客运北站,,郑州,河南
33,宁陕县汽车客运站,宁陕县,安康,陕西
34,拉萨北郊客运站,,拉萨,西藏
35,兴安盟突泉县客运站,兴安县,桂林,广西
36,高速公路客运站,,,
37,230183001,,,
38,睢宁汽车站,睢宁县,徐州,江苏
39,永康东站,永康市,金华,浙江
40,汽车南站,,,
41,开封中心站,,开封,河南
42,济源老公交站,济源市,驻马,河南
43,谷城县汽车客运站,谷城县,襄阳,湖北
44,长沙南线区域F,长沙县,长沙,湖南
45,新化汽车西站,新化县,娄底,湖南
46,清远市连南汽车客运站,连南瑶族自治县,清远,广东
47,深圳市龙华汽车客运站,龙华区,海口,海南
48,靖海镇第三招呼站,,,
49,兴宁东岳宫汽车客运站,兴宁区,南宁,广西
50,怀集城南汽车客运站,怀集县,肇庆,广东
51,2|江屯站北市配客点,,,
52,大新城北客运站,城北区,西宁,青海
53,屯昌站,屯昌县,儋州,海南
54,万宁站,万宁市,儋州,海南
55,琼海博鳌,琼海市,儋州,海南
56,梁平汽车站,梁平区,重庆,重庆
57,岑巩汽车站,岑巩县,黔东,贵州
58,拱北通大客运站,,,
59,库尔勒客运中心站,库尔勒市,巴音,新疆
60,靖远客运中心,靖远县,白银,甘肃
61,贵德汽车站,贵德县,海南,青海
62,桃仙机场客运站,,,
63,231081030,,,
64,伊春新青区客运站,,伊春,黑龙
65,希文路公交,,,
66,龙泉客运站,龙泉驿区,成都,四川
67,丽水市公路客运东站,,丽水,浙江
68,宁波南站,,宁波,浙江
69,云霄车站,云霄县,漳州,福建
70,郑州陇海站,,郑州,河南
71,汝州长途站,汝州市,平顶,河南
72,株洲长途站,,株洲,湖南
73,台山市汽车客运站,台山市,江门,广东
74,龙川汽车客运站,龙川县,河源,广东
75,长安汽车站,长安区,西安,陕西
76,隆安汽车总站,隆安县,南宁,广西
77,重庆北站南广场汽车站,,重庆,重庆
78,南部汽车站,南部县,南充,四川
79,宜春汽车总站,,宜春,江西
80,索县客运站,索县,那曲,西藏
81,彬县客运站,,,
82,霍城客运站,霍城县,伊犁,新疆
83,晋中市汽车客运总站,,晋中,山西
84,磴口汽车站,磴口县,巴彦,内蒙
85,231102028,,,
86,景宁客运中心,景宁畲族自治县,丽水,浙江
87,松溪汽车站,松溪县,南平,福建
88,烟台开发区,,烟台,山东
89,兖州站,兖州区,济宁,山东
90,濮阳东濮站,阳东区,阳江,广东
91,新桥,,,
92,龙川县新城客运站,新城区,西安,陕西
93,洋浦站,,,
94,万宁长丰,万宁市,儋州,海南
95,湖南道县,道县,永州,湖南
96,白沙打安,白沙黎族自治县,儋州,海南
97,泸州客运中心站（西南商贸城）,,泸州,四川
98,铜仁城南站,,铜仁,贵州
99,青川客运中心站,青川县,广元,四川
100,名山区汽车站,名山区,雅安,四川
101,石龙汽车客运站,石龙区,平顶,河南
102,焉耆县客运站,焉耆回族自治县,巴音,新疆
103,天山汽车站,天山区,乌鲁,新疆
104,230112030,,,
105,沪太站,,,
106,赣榆汽车北站,赣榆区,连云,江苏
107,丹阳东站,阳东区,阳江,广东
108,戴南站,,,
109,新浦客运东站,,,
110,界首汽车站,界首市,阜阳,安徽
111,永春汽车站,永春县,泉州,福建
112,安溪茶都公园,安溪县,泉州,福建
113,开封西站,,开封,河南
114,巴河,,,
115,松柏站,,,
116,深圳市龙岗长途汽车客运站,龙岗区,深圳,广东
117,隆江镇第五招呼站,,,
118,梅县丙村汽车客运站,梅县区,梅州,广东
119,合浦汽车总站,合浦县,北海,广西
120,防城客运中心,防城区,防城,广西
121,五指山番阳,五指山市,儋州,海南
122,大翠桥,,,
123,剑阁普安客运站,普安县,黔西,贵州
124,铜仁旅游站,,铜仁,贵州
125,巴中兴文车站,兴文县,宜宾,四川
126,八宿县客运站,八宿县,昌都,西藏
127,格尔木泰山路站,格尔木市,海西,青海
128,寿阳县汽车站,寿阳县,晋中,山西
129,农安县公路客运总站,农安县,长春,吉林
130,友好公路客运站,友好区,伊春,黑龙
131,平阳水头客运中心,平阳县,温州,浙江
132,青岛沧口,,青岛,山东
133,石桥铺,,,
134,茂名化州站,化州市,茂名,广东
135,1口,,,
136,屯昌乌坡,屯昌县,儋州,海南
137,叙永客运中心,叙永县,泸州,四川
