,StartStationName,count
0,太原汽车总站,10646
1,锦州站,221000
2,白城市中心客运总站,20257
3,松原公路客运站,17082
4,231123002,8
5,万达广场,91
6,建州汽车城公交站,1
7,黄石,37072
8,芷江汽车站,10660
9,仪陇马鞍汽车站,16144
10,剑阁(下寺),268
11,象州汽车客运服务站,5
12,澄城汽车站,828
13,泰宁汽车站,1
14,和田东郊客运站,30505
15,公主岭市客运总站,21703
16,永吉县公路客运总站,5990
17,230103020,47
18,青浦长途站,20024
19,平湖汽车客运中心,38241
20,黟县车站,7
21,新干城北汽车站,152
22,郸城客运东站,2049
23,宁远湘运汽车站,8454
24,阳春春湾汽车客运站,14265
25,斗门站,1749
26,稔村站,106
27,文昌文教,24
28,黔西客运站,9783
29,自贡富顺县客运中心,774
30,毕节高铁枢纽站,515
31,大田县建设车站,1
32,郑州客运北站,1
33,宁陕县汽车客运站,1
34,拉萨北郊客运站,167158
35,兴安盟突泉县客运站,7968
36,高速公路客运站,896
37,230183001,4
38,睢宁汽车站,79882
39,永康东站,14304
40,汽车南站,46632
41,开封中心站,63662
42,济源老公交站,2585
43,谷城县汽车客运站,17546
44,长沙南线区域F,1
45,新化汽车西站,15959
46,清远市连南汽车客运站,4172
47,深圳市龙华汽车客运站,681
48,靖海镇第三招呼站,88
49,兴宁东岳宫汽车客运站,43
50,怀集城南汽车客运站,32
51,2|江屯站北市配客点,6
52,大新城北客运站,1531
53,屯昌站,47114
54,万宁站,13952
55,琼海博鳌,2
56,梁平汽车站,55
57,岑巩汽车站,60548
58,拱北通大客运站,55
59,库尔勒客运中心站,1581296
60,靖远客运中心,1441
61,贵德汽车站,950
62,桃仙机场客运站,167406
63,231081030,6
64,伊春新青区客运站,449
65,希文路公交,30
66,龙泉客运站,32315
67,丽水市公路客运东站,142958
68,宁波南站,191986
69,云霄车站,1290
70,郑州陇海站,12486
71,汝州长途站,1830
72,株洲长途站,11718
73,台山市汽车客运站,726
74,龙川汽车客运站,2974
75,长安汽车站,121
76,隆安汽车总站,599
77,重庆北站南广场汽车站,2908
78,南部汽车站,16
79,宜春汽车总站,6
80,索县客运站,4734
81,彬县客运站,25575
82,霍城客运站,64
83,晋中市汽车客运总站,419
84,磴口汽车站,2
85,231102028,6
86,景宁客运中心,60285
87,松溪汽车站,10651
88,烟台开发区,10
89,兖州站,53152
90,濮阳东濮站,3225
91,新桥,220
92,龙川县新城客运站,7385
93,洋浦站,1974
94,万宁长丰,634
95,湖南道县,8
96,白沙打安,4
97,泸州客运中心站（西南商贸城）,249232
98,铜仁城南站,478
99,青川客运中心站,7932
100,名山区汽车站,3946
101,石龙汽车客运站,2
102,焉耆县客运站,549584
103,天山汽车站,1120
104,230112030,5
105,沪太站,143204
106,赣榆汽车北站,20603
107,丹阳东站,29338
108,戴南站,4737
109,新浦客运东站,6727
110,界首汽车站,4
111,永春汽车站,6718
112,安溪茶都公园,3
113,开封西站,21341
114,巴河,4212
115,松柏站,219
116,深圳市龙岗长途汽车客运站,23999
117,隆江镇第五招呼站,166
118,梅县丙村汽车客运站,3
119,合浦汽车总站,1525
120,防城客运中心,1163
121,五指山番阳,21
122,大翠桥,11
123,剑阁普安客运站,7902
124,铜仁旅游站,31020
125,巴中兴文车站,956
126,八宿县客运站,840
127,格尔木泰山路站,663
128,寿阳县汽车站,1012
129,农安县公路客运总站,52668
130,友好公路客运站,10
131,平阳水头客运中心,1258
132,青岛沧口,18633
133,石桥铺,356
134,茂名化州站,992
135,1口,4
136,屯昌乌坡,7
137,叙永客运中心,1926
138,西昌汽车客运中心,299
139,巴中通江城南车站,594
140,九江汽车总站,29
141,钟山汽车站,1
142,察雅县客运站,1492
143,甘泉客运站,4
144,范县客运站,476
145,阳新,47487
146,宁乡东城,8425
147,新化梅苑汽车站,2456
148,松山湖汽车站,107
149,潮安汽车客运站,2
150,芦山汽车站,3621
151,南部县汽车客运站(52队车站),35755
152,施秉汽车站,10854
153,巧家客运站,2
154,修文客车站,69843
155,庄浪昌隆站,2130
156,兰州中川民航售票处,30467
157,偏关汽车客运站,2400
158,222403004,5
159,朴木,4
160,平度站,132047
161,樱桃园站,1373
162,岚山车站,6173
163,郧县,6327
164,邵东汽车站,36
165,吉首汽车东站,19410
166,广州罗冲围汽车客运站,3800
167,永福总站,46
168,广西玉林博白,32
169,双辽客运站,5
170,赣州汽车站,38
171,滦南汽车客运站,13
172,贺州客运中心站,7
173,田林客运站,2
174,民和客运站,6291
175,尧庙汽车站,91
176,岫岩,208027
177,沭阳东站,172069
178,苏州吴中站,18240
179,淮安南站,91506
180,徐州中汇,135
181,富阳客运南站,3782
182,舟山市汽车客运中心,192
183,万安汽车站,3991
184,startstationname,539
185,店埠,8
186,肇庆城东汽车客运站,19620
187,徐闻中心客运站（新国线车站）,15
188,佛山市石湾汽车客运站,372
189,防城港港口汽车站,12
190,雅安长途客运站,8
191,潜江客运站,7
192,兴国县汽车站,1
193,三江汽车河东客运服务站,1
194,枋湖汽车站,6
195,佛坪客运站,10
196,庆城南站,186
197,敦化市长途客运站,1076
198,231124001,2
199,231002006,5
200,佳木斯枢纽站,87703
201,浦江站,3549
202,沛县北站,3717
203,南通家纺城,3492
204,四堡,141
205,三明北沙县,1529
206,舞钢新长途站,1869
207,炎陵汽车站,2639
208,湛江市海田汽车客运站,1052
209,阳西溪头站,22
210,广州白云国际机场客运中心,28
211,大致坡路口,3
212,文昌蓬莱,8
213,兴仁汽车站,21390
214,韩城新城汽车站,57846
215,白山客运总站,18
216,长汀汽车车站,1
217,天等客运总站,17
218,钦州北站,2
219,犍为南门中心站,184
220,蔡家坡汽车站,52321
221,长治市汽车客运东站,4877
222,德惠客运总站,428
223,铁力市公路客运站,6949
224,孙吴县运输有限公司客运站,409
225,阜宁车站,42884
226,常熟东张站,87
227,同康村,38
228,修武县总站,26
229,铁路潮汕站临时汽车客运站,497
230,珠海市上冲长途汽车客运站,896
231,梅州梅县顺风站,1134
232,临高加来路口,2
233,大足汽车站,1346
234,剑河汽车站,15360
235,锦屏汽车站,19
236,长春凯旋公路客运站,37
237,武夷客运总站,2
238,铜川北关客运站,22883
239,张掖客运中心,4
240,池北区公路客运站,1439
241,220182001,10
242,230302002,3
243,海门叠石桥站,1483
244,安溪湖头,1025
245,同安,505
246,诗山车站,72
247,武备,4
248,寿光总站,76401
249,泰安小井站,6064
250,新密中心站(东),2006
251,温县客车站(新站),588
252,新郑汽车站,42
253,韶关汽车客运南站,5423
254,惠州市仲恺汽车客运站,10243
255,云浮汽车客运站,15846
256,韶关仁化汽车客运站,261
257,周田镇第一招呼站,59
258,珠海红旗汽车客运站,120
259,神泉镇第二招呼站,5
260,福山站,7268
261,文昌珠溪桥,5
262,文昌新美,17
263,陵水路口,49
264,绵阳南湖汽车站,45715
265,遵义汽车总站,3526
266,南伞汽车客运站,1
267,宝鸡汽车南站,10912
268,神木汽车站,405
269,海伦市客运站,38938
270,红兴隆中心客运站,269
271,江苏信息,20
272,武义客运中心,10299
273,济钢,1
274,李庄站,2458
275,维也纳酒店高铁南站店,4
276,云集站,11
277,新邵汽车站,1554
278,佛山市顺德区容桂汽车客运,8403
279,柳州飞蛾综合客运站,2785
280,儋州光村,26
281,儋州八一,41
282,琼海东红路口,10
283,文昌罗豆,76
284,文昌龙马,17
285,澄迈永发,5
286,文昌竹林,10
287,枫木高速路口,1
288,三台县旅游汽车站,31129
289,姚安客运站,1
290,巴彦淖尔临河汽车站,1
291,巴林左旗林东客运站,2
292,福鼎汽车南站,1
293,蒲城汽车站,1
294,咸丰汽车站,2025
295,若羌客运站,26163
296,军供客运站,19244
297,临河汽车站,709
298,多伦汽车站,8042
299,安图县公路客运总站,1157
300,查哈阳农场客运站,990
301,启东汽车站,244770
302,济南总站,888285
303,济南东站,95549
304,云阳汽车站,121
305,巴东,14821
306,郁南连滩汽车客运站,10128
307,肇庆四会荔枝湾售票点,258
308,乐东保国,75
309,广西玉林站,2
310,正安客运站,11861
311,理县旅游客运中心,394
312,南宁安吉客运站,64
313,上海中山客运站,30
314,福州汽车北站,79
315,静宁县客运站,39889
316,石首客运中心,6
317,屏南汽车站,6
318,京山客运站,2
319,郧西县客运站,1
320,宁陕汽车站,192
321,大板汽车站,8901
322,230524002,5
323,220103004,4
324,绍兴西站,25948
325,六安汽车客运南站,4590
326,赤水,9
327,湖口站,72
328,郑州中心站,191230
329,宜昌中心站,302344
330,汉川,117987
331,常德汽车南站,4477
332,翁源县官渡汽车客运站,1542
333,湛江麻章汽车客运站,1088
334,佛山市南海区西樵汽车客运站,1275
335,三亚西站,6028
336,广东东莞,29
337,万宁山根路口,2
338,万宁牛漏,1
339,澄迈加乐,2
340,什岭,1
341,松桃汽车站,7488
342,普安汽车站,19220
343,关岭汽车站,10263
344,铜仁汽车客运北站(川硐),2058
345,仪陇超长客运站(金城),458
346,永川客运中心,102
347,渝北双凤桥汽车站,6
348,仙桃汽车站,9
349,定日县客运站,1085
350,吉隆县客运站,364
351,张家川汽车站,91
352,东风汽车站,3789
353,孝义汽车站,190
354,榆社汽车站,49
355,葫芦岛市汽车客运总站,36387
356,南通东站,376105
357,常理工东湖,58
358,苍南西站,1561940
359,泉州汽车北站(原高铁站),13777
360,黎川客运中心,14143
361,马连庄,8
362,枣庄汽车总站,81537
363,长沙市区,6
364,龙山汽车站,6245
365,梅州大埔汽车客运站,12263
366,郁南飞凤汽车客运站,34
367,福山补票点一,414
368,文昌东郊,62
369,琼海嘉积站,79
370,内江汽车站(卷子坳车站),19422
371,石棉汽车站,26939
372,贵阳龙洞堡汽车客运站,57080
373,夹江客运中心,7684
374,梧州金晖站,5
375,罗定泷州客运站,2
376,韩城客运总站,11
377,克拉玛依客运站,476665
378,巴楚县客运站,346293
379,和硕客运站,289791
380,武进汽车站,44394
381,遂昌客运中心,34721
382,安溪西坪,175
383,铜矿车站,337
384,鄱阳客运站,762
385,唐河汽车站,2536
386,黎托站,14054
387,常德北部区域,7
388,清远市城北汽车客运站,107757
389,紫金汽车客运站,11340
390,藤县汽车客运服务站,445
391,临高多文,125
392,清水湾山海间,3
393,海口下昌,1
394,泸县客运中心站,11815
395,安宁客运站,9
396,盐边客运站,33
397,理工大(北门车站服务点),58
398,唐山海港汽车客运站,2
399,华容汽车中心站,2
400,慈利西站,1
